season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,objectid,hour,date,month,is_weekend
Fall 2024,CR-Providence,Providence/Stoughton Line,813,0,day_type_01,weekday,2024-01-01 12:05:00,Attleboro,8.0,1,8,32,14732,12,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,813,0,day_type_01,weekday,2024-01-01 12:15:00,South Attleboro,9.0,1,3,30,14733,12,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,808,1,day_type_01,weekday,2024-01-01 07:51:00,Sharon,6.0,146,1,655,14734,7,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,757,0,day_type_01,weekday,2024-01-01 19:54:00,Endicott,10.0,0,7,40,14735,19,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,823,0,day_type_01,weekday,2024-01-01 16:25:00,Mansfield,5.0,5,115,305,14736,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,760,1,day_type_01,weekday,2024-01-01 23:28:00,Morton Street,11.0,1,0,2,14737,23,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,757,0,day_type_01,weekday,2024-01-01 19:56:00,Dedham Corp Center,11.0,0,2,38,14738,19,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,813,0,day_type_01,weekday,2024-01-01 12:19:00,Pawtucket/Central Falls,10.0,0,10,20,14739,12,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,808,1,day_type_01,weekday,2024-01-01 07:56:00,Canton Junction,7.0,103,1,757,14740,7,2024-01-01,1,0
Fall 2024,CR-Providence,Providence/Stoughton Line,823,0,day_type_01,weekday,2024-01-01 16:34:00,Attleboro,6.0,6,124,187,14741,16,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,760,1,day_type_01,weekday,2024-01-01 23:31:00,Talbot Avenue,12.0,1,0,3,14742,23,2024-01-01,1,0
Fall 2024,CR-Franklin,Franklin/Foxboro Line,757,0,day_type_01,weekday,2024-01-01 19:59:00,Islington,12.0,0,3,35,14743,19,2024-01-01,1,0
